Unnamed: 0,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross,genres,genre_name
5207,"[28, 53, 878]",59967,en,Looper,16.779,2012-09-28,Looper,6.8,6723,TriS,66500000,110000000,2012,176500000,53,Thriller
5207,"[28, 53, 878]",59967,en,Looper,16.779,2012-09-28,Looper,6.8,6723,TriS,66500000,110000000,2012,176500000,878,Science Fiction
5209,"[28, 80, 53]",82675,en,Taken 2,16.078,2012-10-04,Taken 2,6.2,4035,Fox,139900000,236300000,2012,376200000,28,Action
5209,"[28, 80, 53]",82675,en,Taken 2,16.078,2012-10-04,Taken 2,6.2,4035,Fox,139900000,236300000,2012,376200000,80,Crime
5209,"[28, 80, 53]",82675,en,Taken 2,16.078,2012-10-04,Taken 2,6.2,4035,Fox,139900000,236300000,2012,376200000,53,Thriller
5212,"[18, 53]",68734,en,Argo,15.793,2012-10-12,Argo,7.2,5127,WB,136000000,96300000,2012,232300000,18,Drama
5212,"[18, 53]",68734,en,Argo,15.793,2012-10-12,Argo,7.2,5127,WB,136000000,96300000,2012,232300000,53,Thriller
5213,"[35, 14]",62213,en,Dark Shadows,15.75,2012-05-11,Dark Shadows,5.9,4197,WB,79700000,165800000,2012,245500000,35,Comedy
5213,"[35, 14]",62213,en,Dark Shadows,15.75,2012-05-11,Dark Shadows,5.9,4197,WB,79700000,165800000,2012,245500000,14,Fantasy
5217,[28],97430,en,The Man with the Iron Fists,15.457,2012-11-02,The Man with the Iron Fists,5.3,573,Uni.,15600000,4099999,2012,19699999,28,Action
5218,"[18, 35, 10749]",82693,en,Silver Linings Playbook,15.351,2012-12-25,Silver Linings Playbook,7.1,7636,Wein.,132100000,104300000,2012,236400000,18,Drama
5218,"[18, 35, 10749]",82693,en,Silver Linings Playbook,15.351,2012-12-25,Silver Linings Playbook,7.1,7636,Wein.,132100000,104300000,2012,236400000,35,Comedy
5218,"[18, 35, 10749]",82693,en,Silver Linings Playbook,15.351,2012-12-25,Silver Linings Playbook,7.1,7636,Wein.,132100000,104300000,2012,236400000,10749,Romance
5219,"[27, 35, 53]",22970,en,The Cabin in the Woods,15.336,2012-04-12,The Cabin in the Woods,6.5,4185,LGF,42100000,24400000,2012,66500000,27,Horror
5219,"[27, 35, 53]",22970,en,The Cabin in the Woods,15.336,2012-04-12,The Cabin in the Woods,6.5,4185,LGF,42100000,24400000,2012,66500000,35,Comedy
5219,"[27, 35, 53]",22970,en,The Cabin in the Woods,15.336,2012-04-12,The Cabin in the Woods,6.5,4185,LGF,42100000,24400000,2012,66500000,53,Thriller
5220,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,15.318,2012-09-28,Hotel Transylvania,6.9,5013,Sony,148300000,210100000,2012,358400000,16,Animation
5220,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,15.318,2012-09-28,Hotel Transylvania,6.9,5013,Sony,148300000,210100000,2012,358400000,35,Comedy
5220,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,15.318,2012-09-28,Hotel Transylvania,6.9,5013,Sony,148300000,210100000,2012,358400000,10751,Family
5220,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,15.318,2012-09-28,Hotel Transylvania,6.9,5013,Sony,148300000,210100000,2012,358400000,14,Fantasy
5221,"[14, 16, 10751]",51739,ja,借りぐらしのアリエッティ,15.246,2012-02-17,The Secret World of Arrietty,7.6,1234,BV,19200000,126400000,2012,145600000,14,Fantasy
5221,"[14, 16, 10751]",51739,ja,借りぐらしのアリエッティ,15.246,2012-02-17,The Secret World of Arrietty,7.6,1234,BV,19200000,126400000,2012,145600000,16,Animation
5221,"[14, 16, 10751]",51739,ja,借りぐらしのアリエッティ,15.246,2012-02-17,The Secret World of Arrietty,7.6,1234,BV,19200000,126400000,2012,145600000,10751,Family
5222,[18],84892,en,The Perks of Being a Wallflower,15.148,2012-09-21,The Perks of Being a Wallflower,7.8,5938,LG/S,17700000,15600000,2012,33300000,18,Drama
5223,"[12, 18, 28]",87827,en,Life of Pi,15,2012-11-21,Life of Pi,7.3,8723,Fox,125000000,484000000,2012,609000000,12,Adventure
5223,"[12, 18, 28]",87827,en,Life of Pi,15,2012-11-21,Life of Pi,7.3,8723,Fox,125000000,484000000,2012,609000000,18,Drama
5223,"[12, 18, 28]",87827,en,Life of Pi,15,2012-11-21,Life of Pi,7.3,8723,Fox,125000000,484000000,2012,609000000,28,Action
5224,"[14, 12, 28]",57165,en,Wrath of the Titans,14.991,2012-03-29,Wrath of the Titans,5.6,2442,WB,83700000,221600000,2012,305300000,14,Fantasy
5224,"[14, 12, 28]",57165,en,Wrath of the Titans,14.991,2012-03-29,Wrath of the Titans,5.6,2442,WB,83700000,221600000,2012,305300000,12,Adventure
5224,"[14, 12, 28]",57165,en,Wrath of the Titans,14.991,2012-03-29,Wrath of the Titans,5.6,2442,WB,83700000,221600000,2012,305300000,28,Action
5225,"[16, 10751, 14]",81188,en,Rise of the Guardians,14.934,2012-11-21,Rise of the Guardians,7.3,3697,P/DW,103400000,203500000,2012,306900000,16,Animation
5225,"[16, 10751, 14]",81188,en,Rise of the Guardians,14.934,2012-11-21,Rise of the Guardians,7.3,3697,P/DW,103400000,203500000,2012,306900000,10751,Family
5225,"[16, 10751, 14]",81188,en,Rise of the Guardians,14.934,2012-11-21,Rise of the Guardians,7.3,3697,P/DW,103400000,203500000,2012,306900000,14,Fantasy
5226,"[28, 35, 80]",64688,en,21 Jump Street,14.836,2012-03-12,21 Jump Street,6.8,6527,Sony,138400000,63100000,2012,201500000,28,Action
5226,"[28, 35, 80]",64688,en,21 Jump Street,14.836,2012-03-12,21 Jump Street,6.8,6527,Sony,138400000,63100000,2012,201500000,35,Comedy
5226,"[28, 35, 80]",64688,en,21 Jump Street,14.836,2012-03-12,21 Jump Street,6.8,6527,Sony,138400000,63100000,2012,201500000,80,Crime
5227,"[18, 878]",83542,en,Cloud Atlas,14.681,2012-10-26,Cloud Atlas,6.8,4505,WB,27100000,103400000,2012,130500000,18,Drama
5227,"[18, 878]",83542,en,Cloud Atlas,14.681,2012-10-26,Cloud Atlas,6.8,4505,WB,27100000,103400000,2012,130500000,878,Science Fiction
5228,"[53, 18]",80278,en,Lo imposible,14.66,2012-12-04,The Impossible,7.2,3614,LG/S,19000000,161300000,2012,180300000,53,Thriller
5228,"[53, 18]",80278,en,Lo imposible,14.66,2012-12-04,The Impossible,7.2,3614,LG/S,19000000,161300000,2012,180300000,18,Drama
5229,"[27, 53]",93856,en,Chernobyl Diaries,14.658,2012-05-25,Chernobyl Diaries,5,842,WB,18100000,19000000,2012,37100000,27,Horror
5229,"[27, 53]",93856,en,Chernobyl Diaries,14.658,2012-05-25,Chernobyl Diaries,5,842,WB,18100000,19000000,2012,37100000,53,Thriller
5230,"[16, 35, 10751]",62214,en,Frankenweenie,14.627,2012-10-05,Frankenweenie,6.8,1685,BV,35300000,46200000,2012,81500000,16,Animation
5230,"[16, 35, 10751]",62214,en,Frankenweenie,14.627,2012-10-05,Frankenweenie,6.8,1685,BV,35300000,46200000,2012,81500000,35,Comedy
5230,"[16, 35, 10751]",62214,en,Frankenweenie,14.627,2012-10-05,Frankenweenie,6.8,1685,BV,35300000,46200000,2012,81500000,10751,Family
5231,"[35, 14]",72105,en,Ted,14.475,2012-06-29,Ted,6.3,7727,Uni.,218800000,330600000,2012,549400000,35,Comedy
5231,"[35, 14]",72105,en,Ted,14.475,2012-06-29,Ted,6.3,7727,Uni.,218800000,330600000,2012,549400000,14,Fantasy
5232,"[12, 28, 878]",72545,en,Journey 2: The Mysterious Island,14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152,WB (NL),103900000,231400000,2012,335300000,12,Adventure
5232,"[12, 28, 878]",72545,en,Journey 2: The Mysterious Island,14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152,WB (NL),103900000,231400000,2012,335300000,28,Action
5232,"[12, 28, 878]",72545,en,Journey 2: The Mysterious Island,14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152,WB (NL),103900000,231400000,2012,335300000,878,Science Fiction
5233,"[28, 18, 53]",74998,en,Seeking Justice,14.262,2012-03-16,Seeking Justice,5.9,524,Anch.,412000,11900000,2012,12312000,28,Action
5233,"[28, 18, 53]",74998,en,Seeking Justice,14.262,2012-03-16,Seeking Justice,5.9,524,Anch.,412000,11900000,2012,12312000,18,Drama
5233,"[28, 18, 53]",74998,en,Seeking Justice,14.262,2012-03-16,Seeking Justice,5.9,524,Anch.,412000,11900000,2012,12312000,53,Thriller
5234,"[53, 18, 36]",97630,en,Zero Dark Thirty,14.239,2012-12-19,Zero Dark Thirty,6.9,2553,Sony,95700000,37100000,2012,132800000,53,Thriller
5234,"[53, 18, 36]",97630,en,Zero Dark Thirty,14.239,2012-12-19,Zero Dark Thirty,6.9,2553,Sony,95700000,37100000,2012,132800000,18,Drama
5234,"[53, 18, 36]",97630,en,Zero Dark Thirty,14.239,2012-12-19,Zero Dark Thirty,6.9,2553,Sony,95700000,37100000,2012,132800000,36,History
5235,"[878, 12, 14]",70160,en,The Hunger Games,14.212,2012-03-23,The Hunger Games,7.1,14587,LGF,408000000,286400000,2012,694400000,878,Science Fiction
5235,"[878, 12, 14]",70160,en,The Hunger Games,14.212,2012-03-23,The Hunger Games,7.1,14587,LGF,408000000,286400000,2012,694400000,12,Adventure
5235,"[878, 12, 14]",70160,en,The Hunger Games,14.212,2012-03-23,The Hunger Games,7.1,14587,LGF,408000000,286400000,2012,694400000,14,Fantasy
5236,"[35, 18, 10749]",83666,en,Moonrise Kingdom,14.086,2012-05-25,Moonrise Kingdom,7.7,3023,Focus,45500000,22800000,2012,68300000,35,Comedy
5236,"[35, 18, 10749]",83666,en,Moonrise Kingdom,14.086,2012-05-25,Moonrise Kingdom,7.7,3023,Focus,45500000,22800000,2012,68300000,18,Drama
5236,"[35, 18, 10749]",83666,en,Moonrise Kingdom,14.086,2012-05-25,Moonrise Kingdom,7.7,3023,Focus,45500000,22800000,2012,68300000,10749,Romance
5239,"[35, 10402, 10749]",114150,en,Pitch Perfect,13.886,2012-09-28,Pitch Perfect,7.3,4233,Uni.,65000000,50300000,2012,115300000,35,Comedy
5239,"[35, 10402, 10749]",114150,en,Pitch Perfect,13.886,2012-09-28,Pitch Perfect,7.3,4233,Uni.,65000000,50300000,2012,115300000,10402,Music
5239,"[35, 10402, 10749]",114150,en,Pitch Perfect,13.886,2012-09-28,Pitch Perfect,7.3,4233,Uni.,65000000,50300000,2012,115300000,10749,Romance
5240,"[80, 18, 53]",73567,en,Killer Joe,13.742,2012-07-27,Killer Joe,6.5,703,LD,2000000,1700000,2012,3700000,80,Crime
5240,"[80, 18, 53]",73567,en,Killer Joe,13.742,2012-07-27,Killer Joe,6.5,703,LD,2000000,1700000,2012,3700000,18,Drama
5240,"[80, 18, 53]",73567,en,Killer Joe,13.742,2012-07-27,Killer Joe,6.5,703,LD,2000000,1700000,2012,3700000,53,Thriller
5241,"[18, 35]",77930,en,Magic Mike,13.7,2012-06-29,Magic Mike,6.1,1850,WB,113700000,53500000,2012,167200000,18,Drama
5241,"[18, 35]",77930,en,Magic Mike,13.7,2012-06-29,Magic Mike,6.1,1850,WB,113700000,53500000,2012,167200000,35,Comedy
5242,"[53, 27, 9648]",61012,en,Silent Hill: Revelation 3D,13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786,ORF,17500000,34800000,2012,52300000,53,Thriller
5242,"[53, 27, 9648]",61012,en,Silent Hill: Revelation 3D,13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786,ORF,17500000,34800000,2012,52300000,27,Horror
5242,"[53, 27, 9648]",61012,en,Silent Hill: Revelation 3D,13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786,ORF,17500000,34800000,2012,52300000,9648,Mystery
5244,"[10751, 16, 12, 35]",77174,en,ParaNorman,13.32,2012-08-17,ParaNorman,6.8,1358,Focus,56000000,51100000,2012,107100000,10751,Family
5244,"[10751, 16, 12, 35]",77174,en,ParaNorman,13.32,2012-08-17,ParaNorman,6.8,1358,Focus,56000000,51100000,2012,107100000,16,Animation
5244,"[10751, 16, 12, 35]",77174,en,ParaNorman,13.32,2012-08-17,ParaNorman,6.8,1358,Focus,56000000,51100000,2012,107100000,12,Adventure
5244,"[10751, 16, 12, 35]",77174,en,ParaNorman,13.32,2012-08-17,ParaNorman,6.8,1358,Focus,56000000,51100000,2012,107100000,35,Comedy
5246,"[28, 878]",49049,en,Dredd,13.223,2012-09-21,Dredd,6.7,2788,LGF,13400000,22200000,2012,35600000,28,Action
5246,"[28, 878]",49049,en,Dredd,13.223,2012-09-21,Dredd,6.7,2788,LGF,13400000,22200000,2012,35600000,878,Science Fiction
5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000,118100000,2012,183000000,12,Adventure
5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000,118100000,2012,183000000,35,Comedy
5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000,118100000,2012,183000000,18,Drama
5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000,118100000,2012,183000000,10751,Family
5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,2012-03-30,Mirror Mirror,5.8,2099,Rela.,64900000,118100000,2012,183000000,14,Fantasy
5248,"[80, 18, 53]",77016,en,End of Watch,13.152,2012-09-21,End of Watch,7.3,1770,ORF,41000000,7100000,2012,48100000,80,Crime
5248,"[80, 18, 53]",77016,en,End of Watch,13.152,2012-09-21,End of Watch,7.3,1770,ORF,41000000,7100000,2012,48100000,18,Drama
5248,"[80, 18, 53]",77016,en,End of Watch,13.152,2012-09-21,End of Watch,7.3,1770,ORF,41000000,7100000,2012,48100000,53,Thriller
5249,"[18, 10749]",77877,en,The Lucky One,13.14,2012-04-20,The Lucky One,6.9,2012,WB,60500000,38900000,2012,99400000,18,Drama
5249,"[18, 10749]",77877,en,The Lucky One,13.14,2012-04-20,The Lucky One,6.9,2012,WB,60500000,38900000,2012,99400000,10749,Romance
5250,"[27, 53, 9648]",82507,en,Sinister,13.117,2012-10-12,Sinister,6.8,2935,LG/S,48100000,29600000,2012,77700000,27,Horror
5250,"[27, 53, 9648]",82507,en,Sinister,13.117,2012-10-12,Sinister,6.8,2935,LG/S,48100000,29600000,2012,77700000,53,Thriller
5250,"[27, 53, 9648]",82507,en,Sinister,13.117,2012-10-12,Sinister,6.8,2935,LG/S,48100000,29600000,2012,77700000,9648,Mystery
5251,"[28, 53]",59961,en,Safe House,13.116,2012-02-10,Safe House,6.4,1997,Uni.,126400000,81700000,2012,208100000,28,Action
5251,"[28, 53]",59961,en,Safe House,13.116,2012-02-10,Safe House,6.4,1997,Uni.,126400000,81700000,2012,208100000,53,Thriller
5252,"[18, 10749]",72570,en,The Vow,13.046,2012-02-10,The Vow,7.1,2409,SGem,125000000,71100000,2012,196100000,18,Drama
5252,"[18, 10749]",72570,en,The Vow,13.046,2012-02-10,The Vow,7.1,2409,SGem,125000000,71100000,2012,196100000,10749,Romance
5253,"[18, 53, 28, 12]",75174,en,The Grey,12.942,2012-01-27,The Grey,6.5,2280,ORF,51600000,25700000,2012,77300000,18,Drama
5253,"[18, 53, 28, 12]",75174,en,The Grey,12.942,2012-01-27,The Grey,6.5,2280,ORF,51600000,25700000,2012,77300000,53,Thriller
5253,"[18, 53, 28, 12]",75174,en,The Grey,12.942,2012-01-27,The Grey,6.5,2280,ORF,51600000,25700000,2012,77300000,28,Action
5253,"[18, 53, 28, 12]",75174,en,The Grey,12.942,2012-01-27,The Grey,6.5,2280,ORF,51600000,25700000,2012,77300000,12,Adventure
5255,[18],68722,en,The Master,12.829,2012-09-14,The Master,7.1,1323,Wein.,16399999,11900000,2012,28299999,18,Drama
